award_title,years,finalist,winner,groups,url
Outstanding Production Design for a Variety Special,2019 Awards,Rent: Live,Winner,"Jason Sherwood,, ,Adam Rowe,, ,John Sparano",/title/tt6881910/?ref_=m_ev_nom
Outstanding Production Design for a Variety Special,2019 Awards,Homecoming: A Film by Beyoncé,,"Ric Lipson,, ,Rachel Duncan,, ,Andrew Makadsi",/title/tt10147546/?ref_=m_ev_nom
Outstanding Production Design for a Variety Special,2019 Awards,Live in Front of a Studio Audience: Norman Lear's 'All in the Family' and 'The Jeffersons',,"Bernard Vyzga, (production designer),, ,Rich Rohrer, (art director),, ,Ron Olsen, (set decorator)",/title/tt10313336/?ref_=m_ev_nom
Outstanding Production Design for a Variety Special,2019 Awards,The 61st Annual Grammy Awards,,"Brian J. Stonestreet,, ,Kristen Merlino,, ,Gloria Lamb",/title/tt9618532/?ref_=m_ev_nom
Outstanding Production Design for a Variety Special,2019 Awards,The Oscars,,"David Korins,, ,Alana Billingsley",/title/tt9168816/?ref_=m_ev_nom
"Outstanding Production Design for a Variety, Reality or Competition Series",2019 Awards,Saturday Night Live,Winner,"Eugene Lee, (production designer),, ,Akira Yoshimura, (production designer),, ,Keith Raywood, (production designer),, ,Joe DeTullio, (production designer)",/title/tt0072562/?ref_=m_ev_nom
"Outstanding Production Design for a Variety, Reality or Competition Series",2019 Awards,At Home with Amy Sedaris,,"Jason Singleton, (Production Designer),, ,Naomi Munro, (Art Director),, ,Kim Fischer, (Set Decorator)",/title/tt7552590/?ref_=m_ev_nom
"Outstanding Production Design for a Variety, Reality or Competition Series",2019 Awards,Queer Eye,,"Thomas Rouse, (production designer)",/title/tt7259746/?ref_=m_ev_nom
"Outstanding Production Design for a Variety, Reality or Competition Series",2019 Awards,The Voice,,"Anton Goss, (production designer),, ,James Connelly, (production designer),, ,Zeya Maurer, (art director),, ,Brittany Perham-MacWhorter, (art director),, ,Emily Auble, (set decorator)",/title/tt1839337/?ref_=m_ev_nom
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or Special",2019 Awards,Star Trek: Discovery,Winner,"Glenn Hetrick, (special makeup effects department head),, ,James MacKinnon, (special makeup effects department head),, ,Hugo Villasenor, (special makeup effects artist),, ,Rocky Faulkner, (special makeup effects artist),, ,Chris Bridges, (special makeup effects artist),, ,Nicola Bendrey, (special makeup effects artist),, ,Michael O'Brien, (prosthetic designer),, ,Neville Page, (prosthetic designer)",/title/tt5171438/?ref_=m_ev_nom
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or Special",2019 Awards,American Horror Story,,"Eryn Krueger Mekash, (department head makeup artist),, ,Michael Mekash, (special makeup effects assistant department head),, ,Steve LaPorte, (special makeup effects artist),, ,Jake Garber, (special makeup effects artist),, ,Vance Hartwell, (special makeup effects artist),, ,Silvina Knight, (makeup artist),, ,Glen Eisner, (prosthetic designer),, ,David LeRoy Anderson, (prosthetic designer)",/title/tt1844624/?ref_=m_ev_nom
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or Special",2019 Awards,Chernobyl,,"Barrie Gower, (special makeup effects department head),, ,Paul Spateri, (special makeup effects department head),, ,Daniel Parker, (prosthetic designer),, ,Victoria Bancroft, (key makeup artist),, ,Robin Pritchard, (key makeup artist),, ,Patt Foad, (special makeup effects artist),, ,Lucy Pittard, (special makeup effects artist)",/title/tt7366338/?ref_=m_ev_nom
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or Special",2019 Awards,Fosse/Verdon,,"Debbie Zoller, (department head makeup artist),, ,David Presto, (key makeup artist),, ,Jackie Risotto, (personal makeup artist),, ,Yoichi Art Sakamoto, (special makeup effects artist),, ,Vincent Van Dyke, (prosthetic designer)",/title/tt8746478/?ref_=m_ev_nom
"Outstanding Prosthetic Makeup for a Series, Limited Series, Movie or Special",2019 Awards,Game of Thrones,,"Emma Faulkes, (special makeup effects artist),, ,Paul Spateri, (special makeup effects artist),, ,Chloe Muton-Phillips, (special makeup effects artist),, ,Duncan Jarman, (special makeup effects artist),, ,Patt Foad, (special makeup effects artist),, ,John Eldred-Tooby, (special makeup effects artist),, ,Barrie Gower, (prosthetic designer),, ,Sarah Gower, (prosthetic designer)",/title/tt0944947/?ref_=m_ev_nom
Outstanding Short Form Animated Program,2019 Awards,"Love, Death & Robots",Winner,"David Fincher, (executive producer),, ,Tim Miller, (executive producer),, ,Jennifer Miller, (executive producer),, ,Joshua Donen, (executive producer),, ,Victoria L. Howard, (supervising producer),, ,Gennie Rim, (producer),, ,Alberto Mielgo, (written by/directed by),, ,Gabriele Pennacchioli, (supervising director)",/title/tt9561862/?ref_=m_ev_nom
Outstanding Short Form Animated Program,2019 Awards,Robot Chicken,,"Seth Green, (executive producer/written by),, ,Matthew Senreich, (executive producer/written by),, ,John Harvatine IV, (executive producer),, ,Eric Towner, (executive producer),, ,Keith Crofford, (executive producer),, ,Mike Lazzo, (executive producer),, ,Tom Root, (executive producer/head writer),, ,Douglas Goldstein, (executive producer/head writer),, ,Margaret M. Dean, (supervising producer),, ,Ollie Green, (producer),, ,Mike Fasolo, (written by),, ,Kiel Kennedy, (written by),, ,Michael Poisson, (written by),, ,Ellory Smith, (written by),, ,Tom Sheppard, (written by/directed by),, ,Alex Kamer, (animation director),, ,Scott DaRos, (co-animation director),, ,Matt Sheldon, (assistant director)",/title/tt0437745/?ref_=m_ev_nom
Outstanding Short Form Animated Program,2019 Awards,SpongeBob SquarePants,,"Stephen Hillenburg, (executive producer),, ,Marc Ceccarelli, (supervising producer),, ,Vincent Waller, (supervising producer),, ,Jennie Monica, (produced by),, ,Luke Brookshier, (written by),, ,Adam Paloian, (supervising director),, ,Alan Smart, (supervising director),, ,Tom Yasumi, (animation director)",/title/tt0206512/?ref_=m_ev_nom
Outstanding Short Form Animated Program,2019 Awards,Steven Universe,,"Rebecca Sugar, (executive producer/story by),, ,Rob Sorcher, (executive producer),, ,Brian A. Miller, (executive producer),, ,Jennifer Pelphrey, (executive producer),, ,Curtis Lelash, (executive producer),, ,Jackie Buscarino, (producer),, ,Paul Villeco, (written by),, ,Katie Mitroff, (written by),, ,Jeff Liu, (written by),, ,Miki Brewster, (written by),, ,Matt Burnett, (story by),, ,Ben Levin, (story by),, ,Kat Morris, (story by),, ,Tom Herpich, (story by),, ,Joseph D. Johnston, (story by/supervising director),, ,Nick DeMayo, (animation director),, ,Kimson Albert, (sheet timing),, ,Maureen Mlynarczyk, (sheet timing)",/title/tt3061046/?ref_=m_ev_nom
Outstanding Short Form Animated Program,2019 Awards,Teen Titans Go!,,"Sam Register, (executive producer),, ,Aaron Horvath, (executive producer),, ,Michael Jelenic, (executive producer),, ,Peter Rida Michail, (producer),, ,Peggy Regan, (producer),, ,Amy Wolfram, (written by),, ,James Krenzke, (directed by),, ,Luke Cormican, (supervising director),, ,Eric Pringle, (animation director)",/title/tt2771780/?ref_=m_ev_nom
Outstanding Short Form Comedy or Drama Series,2019 Awards,State of the Union,Winner,"Nick Hornby, (executive producer),, ,Stephen Frears, (executive producer),, ,Jamie Laurenson, (executive producer),, ,Hakan Kousetta, (executive producer),, ,Iain Canning, (executive producer),, ,Emile Sherman, (executive producer)",/title/tt8708280/?ref_=m_ev_nom
Outstanding Short Form Comedy or Drama Series,2019 Awards,An Emmy for Megan,,"Megan Amram,, ,Janel Kranking,, ,Dave Kneebone,, ,Joseph Carnegie",/title/tt8341974/?ref_=m_ev_nom
Outstanding Short Form Comedy or Drama Series,2019 Awards,Hack Into Broad City,,"Tony Hernandez,, ,Lilly Burns,, ,Abbi Jacobson,, ,Ilana Glazer,, ,Kelsie Kiley,, ,Nick Paley",/title/tt7000350/?ref_=m_ev_nom
Outstanding Short Form Comedy or Drama Series,2019 Awards,It's Bruno!,,"Solvan Naim,, ,Molly Conners,, ,Amanda Bowers,, ,Vincent Morano",/title/tt10186846/?ref_=m_ev_nom
Outstanding Short Form Comedy or Drama Series,2019 Awards,Special,,"Jim Parsons,, ,Todd Spiewak,, ,Eric Norsoph,, ,Ryan O'Connell,, ,Anna Dokoza",/title/tt9381622/?ref_=m_ev_nom
Outstanding Short Form Nonfiction or Reality Series,2019 Awards,Creating Saturday Night Live,Winner,"Lorne Michaels, (executive producer),, ,Osmany Rodriguez, (co-executive producer),, ,Christopher Voss, (co-executive producer),, ,Matt Yonks, (co-executive producer),, ,Michael Scogin, (supervising producer),, ,Erin Doyle, (producer)",/title/tt11712986/?ref_=m_ev_nom
Outstanding Short Form Nonfiction or Reality Series,2019 Awards,"Pose: Identity, Family, Community",,"Ryan Murphy, (executive producer),, ,Tanase Popa, (executive producer),, ,Stephanie Gibbons, (executive producer),, ,Kenna McCabe, (executive producer),, ,Sally Daws, (executive producer),, ,Maureen Timpa, (executive producer)",/title/tt10921406/?ref_=m_ev_nom
Outstanding Short Form Variety Series,2019 Awards,Carpool Karaoke,Winner,"Ben Winston, (executive producer),, ,James Corden, (executive producer),, ,Eric Pankowski, (executive producer),, ,David Young, (supervising producer),, ,Sheila Rogers, (supervising producer),, ,Diana Miller, (producer)",/title/tt6396082/?ref_=m_ev_nom
Outstanding Short Form Variety Series,2019 Awards,Billy on the Street,,"Billy Eichner, (executive producer/host),, ,Doug Brady, (executive producer),, ,Mike Farah, (executive producer),, ,Bill Parker, (executive producer),, ,Elizabeth Baquet, (producer),, ,Ciara Pavia, (producer)",/title/tt2191991/?ref_=m_ev_nom
Outstanding Short Form Variety Series,2019 Awards,Gay of Thrones,,"Erin Gibson, (executive producer),, ,Whitney Hodack, (produced by),, ,Ross Buran, (supervising producer),, ,Matt Mazany, (co-executive producer),, ,Mike Farah, (executive producer),, ,Jonathan Van Ness, (executive producer)",/title/tt2946308/?ref_=m_ev_nom
Outstanding Short Form Variety Series,2019 Awards,Honest Trailers,,"Spencer Gilbert, (producer),, ,Joe Starr, (producer),, ,Dan Murrell, (producer)",/title/tt2610260/?ref_=m_ev_nom
Outstanding Short Form Variety Series,2019 Awards,The Randy Rainbow Show,,"Randy Rainbow, (executive producer),, ,Tanase Popa, (producer),, ,John Retsios, (producer),, ,Rich Super, (producer),, ,Jeff Romley, (producer)",/title/tt12836402/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Comedy Series,2019 Awards,Fleabag,Winner,Gary Dollner,/title/tt5687612/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Comedy Series,2019 Awards,Barry,,Jeff Buchanan,/title/tt5348176/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Comedy Series,2019 Awards,Barry,,Kyle Reiter,/title/tt5348176/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Comedy Series,2019 Awards,Russian Doll,,Laura Weinberg,/title/tt7520794/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Comedy Series,2019 Awards,The Marvelous Mrs. Maisel,,Tim Streeto,/title/tt5788792/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Comedy Series,2019 Awards,The Marvelous Mrs. Maisel,,Kate Sanford,/title/tt5788792/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Drama Series,2019 Awards,Game of Thrones,Winner,Tim Porter,/title/tt0944947/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Drama Series,2019 Awards,Game of Thrones,,Katie Weiland,/title/tt0944947/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Drama Series,2019 Awards,Game of Thrones,,Crispin Green,/title/tt0944947/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Drama Series,2019 Awards,Killing Eve,,Dan Crinnion,/title/tt7016936/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Drama Series,2019 Awards,Ozark,,"Cindy Mollo,, ,Heather Goodwin Floyd",/title/tt5071412/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Drama Series,2019 Awards,The Handmaid's Tale,,Wendy Hallam Martin,/title/tt5834204/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Limited Series or Movie,2019 Awards,Chernobyl,Winner,Simon Smith,/title/tt7366338/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Limited Series or Movie,2019 Awards,Chernobyl,,Jinx Godfrey,/title/tt7366338/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Limited Series or Movie,2019 Awards,Deadwood: The Movie,,"Martin Nicholson, (editor),, ,Erick Fefferman, (editor),, ,Cindy Mollo, (additional editor)",/title/tt4943998/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Limited Series or Movie,2019 Awards,Fosse/Verdon,,Tim Streeto,/title/tt8746478/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Limited Series or Movie,2019 Awards,Sharp Objects,,"Véronique Barbe,, ,Justin Lachance,, ,Maxime Lahaie,, ,Émile Vallée,, ,Jean-Marc Vallée",/title/tt2649356/?ref_=m_ev_nom
Outstanding Single-Camera Picture Editing for a Limited Series or Movie,2019 Awards,True Detective,,Leo Trombetta,/title/tt2356777/?ref_=m_ev_nom
Outstanding Sound Editing For a Comedy or Drama Series (Half-Hour) and Animation,2019 Awards,Barry,Winner,"Matthew E. Taylor, (co-supervising sound editor),, ,Sean Heissinger, (co-supervising sound editor),, ,Rickley W. Dumm, (sound effects editor),, ,Mark Allen, (sound effects editor),, ,John Creed, (dialogue editor),, ,Harrison Meyle, (dialogue editor),, ,Michael Brake, (music editor),, ,Clayton Weber, (foley editor),, ,Alyson Dee Moore, (foley artist),, ,Christopher Moriana, (foley artist)",/title/tt5348176/?ref_=m_ev_nom
Outstanding Sound Editing For a Comedy or Drama Series (Half-Hour) and Animation,2019 Awards,Ballers,,"Mark Relyea, (sound supervisor),, ,David Barbee, (sound effects editor),, ,Russell Topal, (sound effects editor),, ,Julie Altus, (adr supervisor),, ,Chris Kahwaty, (dialogue editor),, ,Bruno Roussel, (music editor),, ,Damien Smith, (foley editor),, ,Joseph T. Sabella, (foley artist),, ,Jesi Ruppel, (foley artist)",/title/tt2891574/?ref_=m_ev_nom
Outstanding Sound Editing For a Comedy or Drama Series (Half-Hour) and Animation,2019 Awards,"Love, Death & Robots",,"Brad North, (sound supervisor/dialogue editor),, ,Craig Henighan, (sound designer),, ,Jordan Wilby, (sound effects editor),, ,Troy Prehmus, (sound effects editor),, ,Jeff Charbonneau, (music editor),, ,Alicia Stevenson, (foley artist),, ,Dawn Lunsford, (foley artist)",/title/tt9561862/?ref_=m_ev_nom
Outstanding Sound Editing For a Comedy or Drama Series (Half-Hour) and Animation,2019 Awards,Russian Doll,,"Lewis Goldstein, (sound supervisor),, ,Alex Soto, (sound effects editor),, ,Jerrell Suelto, (dialogue editor),, ,Alfred DeGrand, (dialogue editor),, ,Wen Hsuan Tseng, (foley editor)",/title/tt7520794/?ref_=m_ev_nom
Outstanding Sound Editing For a Comedy or Drama Series (Half-Hour) and Animation,2019 Awards,What We Do in the Shadows,,"Steffan Falesitch, (supervising sound editor),, ,David Barbee, (sound effects editor),, ,Angelina Faulkner, (dialogue editor),, ,Steve Griffen, (music editor),, ,Sam C. Lewis, (supervising foley editor),, ,John Guentner, (foley editor),, ,Ginger Geary, (foley artist)",/title/tt7908628/?ref_=m_ev_nom
Outstanding Sound Editing for Nonfiction Program (Single or Multi-Camera),2019 Awards,Free Solo,Winner,"Deborah Wallach, (sound supervisor),, ,Filipe Messeder, (sound effects editor),, ,Jim Schultz, (music editor),, ,Roland Vajs, (foley editor),, ,Nuno Bento, (foley artist)",/title/tt7775622/?ref_=m_ev_nom
Outstanding Sound Editing for Nonfiction Program (Single or Multi-Camera),2019 Awards,Anthony Bourdain: Parts Unknown,,"Benny Mouthon, (sound supervisor),, ,Hunter Gross, (sound editor)",/title/tt2845786/?ref_=m_ev_nom
Outstanding Sound Editing for Nonfiction Program (Single or Multi-Camera),2019 Awards,Fyre,,"Tom Paul, (sound designer),, ,Nathan Hasz, (sound supervisor),, ,Jeremy S. Bloom, (sound effects editor),, ,Esther Regelson, (dialogue editor),, ,Daniel Ward, (dialogue editor),, ,Curtis Henderson, (foley artist),, ,Jon Karmen, (sound editor)",/title/tt9412098/?ref_=m_ev_nom
Outstanding Sound Editing for Nonfiction Program (Single or Multi-Camera),2019 Awards,Leaving Neverland,,"Ross Millership, (dialogue editor),, ,Poppy Kavanagh, (music editor)",/title/tt9573980/?ref_=m_ev_nom
Outstanding Sound Editing for Nonfiction Program (Single or Multi-Camera),2019 Awards,Our Planet,,"Kate Hopkins, (sound supervisor),, ,Tim Owens, (sound editor)",/title/tt9253866/?ref_=m_ev_nom
Outstanding Sound Editing for a Comedy or Drama Series (One Hour),2019 Awards,Game of Thrones,Winner,"Tim Kimmel, (sound supervisor),, ,Tim Hands, (supervising adr editor),, ,Paula Fairfield, (sound designer),, ,Bradley C. Katona, (sound effects editor),, ,Paul Bercovitch, (supervising dialogue editor),, ,John Matter, (dialogue editor),, ,David Klotz, (music editor),, ,Brett Voss, (foley editor),, ,Jeffrey Wilhoit, (foley artist),, ,Dylan Tuomy-Wilhoit, (foley artist)",/title/tt0944947/?ref_=m_ev_nom
Outstanding Sound Editing for a Comedy or Drama Series (One Hour),2019 Awards,Better Call Saul,,"Kurt Nicholas Forshager, (sound supervisor),, ,Kathryn Madsen, (adr supervisor),, ,Matt Temple, (fx editor),, ,Mark Cookson, (fx editor),, ,Jane Boegel, (dialogue editor),, ,Jason Tregoe Newman, (music editor),, ,Jeffrey Cranford, (foley editor),, ,Gregg Barbanell, (foley artist),, ,Laura Macias, (foley artist)",/title/tt3032476/?ref_=m_ev_nom
